id,question_es,sql,archetype,archetype_name,pattern,intent,default_chart,tables_used,difficulty,num_tables
1,¿Cuál es el saldo total de todas las cuentas activas?,SELECT SUM(currentBalance) AS saldo_total FROM dbo.Accounts WHERE accountStatus = 'active',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
2,¿Cuántos clientes tiene el banco actualmente?,SELECT COUNT(*) AS total_clientes FROM dbo.Customers,A,nivel_puntual,comparacion,nivel_puntual,,Customers,easy,1
3,¿Cuál es el monto total de préstamos activos?,SELECT SUM(loanAmount) AS monto_total_prestamos FROM dbo.Loans WHERE status = 'active',A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
4,¿Cuántas sucursales tiene el banco?,SELECT COUNT(*) AS total_sucursales FROM dbo.Branches,A,nivel_puntual,comparacion,nivel_puntual,,Branches,easy,1
5,¿Cuál es el saldo promedio de las cuentas de ahorro?,SELECT AVG(currentBalance) AS saldo_promedio FROM dbo.Accounts WHERE accountType = 'saving',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
6,¿Cuántos empleados trabajan en el banco?,SELECT COUNT(*) AS total_empleados FROM dbo.Employees,A,nivel_puntual,comparacion,nivel_puntual,,Employees,easy,1
8,¿Cuántas transacciones de depósito se han realizado en total?,SELECT COUNT(*) AS total_depositos FROM dbo.Transactions WHERE transactionType = 'deposit',A,nivel_puntual,comparacion,nivel_puntual,,Transactions,easy,1
9,¿Cuál es el monto total de transferencias realizadas?,SELECT SUM(amount) AS monto_total_transferencias FROM dbo.Transfers,A,nivel_puntual,comparacion,nivel_puntual,,Transfers,easy,1
10,¿Cuántas cuentas están suspendidas actualmente?,SELECT COUNT(*) AS cuentas_suspendidas FROM dbo.Accounts WHERE accountStatus = 'suspended',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
11,¿Cuál es el monto máximo de préstamo otorgado?,SELECT MAX(loanAmount) AS prestamo_maximo FROM dbo.Loans,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
12,¿Cuántos clientes premium tiene el banco?,SELECT COUNT(*) AS clientes_premium FROM dbo.Customers WHERE customerType = 'premium',A,nivel_puntual,comparacion,nivel_puntual,,Customers,easy,1
13,¿Cuál es el monto promedio de los pagos de préstamos?,SELECT AVG(paymentAmount) AS pago_promedio FROM dbo.LoanPayments,A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
15,¿Cuál es el saldo total de las cuentas corrientes?,SELECT SUM(currentBalance) AS saldo_cuentas_corrientes FROM dbo.Accounts WHERE accountType = 'checking',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
18,¿Cuál es el monto total de intereses pagados en todos los préstamos?,SELECT SUM(interestAmount) AS total_intereses FROM dbo.LoanPayments,A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
19,¿Cuántas cuentas de crédito existen?,SELECT COUNT(*) AS total_cuentas_credito FROM dbo.Accounts WHERE accountType = 'credit',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
20,¿Cuál es el monto mínimo de préstamo en el sistema?,SELECT MIN(loanAmount) AS prestamo_minimo FROM dbo.Loans,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
91,¿Cuántas cuentas se crearon en el año 2024?,SELECT COUNT(*) AS cuentas_2024 FROM dbo.Accounts WHERE YEAR(createdAt) = 2024,A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
92,¿Cuál es el monto promedio de las transferencias?,SELECT AVG(amount) AS monto_promedio FROM dbo.Transfers,A,nivel_puntual,comparacion,nivel_puntual,,Transfers,easy,1
